lon,lat,year,resistance_type
102.607780457,12.8581104279,2002,k13
103.202003479,13.1028003693,2002,k13
102.607780457,12.8581104279,2004,k13
98.6267,19.7139,2004,partner
98.4747,15.2656,2005,partner
102.607780457,12.8581104279,2006,k13
98.6267,19.7139,2006,partner
99.5327987671,14.0228004456,2007,k13
100.852,14.4846,2007,partner
98.6084976196,9.95287036896,2007,k13
99.5301589966,14.0264596939,2007,k13
98.6338424683,9.95201015472,2007,k13
102.668,12.819,2008,partner
102.607780457,12.8581104279,2008,k13
97.556448,24.75595,2008,k13
102.668,12.9093,2009,partner
98.6267,19.7139,2009,partner
100.809,19.0924,2009,partner
103.482,12.3252,2009,partner
104.426,10.9503,2009,partner
102.852996826,12.5972995758,2009,k13
98.5568008423,16.7077007294,2010,k13
103.204,13.0957,2010,partner
102.098,12.6094,2010,partner
102.668,12.9093,2010,partner
106.722999573,11.75,2010,k13
106.183,11.8269,2010,partner
100.809,19.0924,2010,partner
98.6267,19.7139,2010,partner
106.984,13.7318,2010,partner
102.607780457,12.8581104279,2010,k13
103.918998718,12.5382995605,2010,k13
98.5503005981,9.98237991333,2011,k13
106.96667,11.816667,2011,k13
98.6267,19.7139,2011,partner
103.918998718,12.5382995605,2011,k13
99.5328,14.0228,2011,partner
106.722999573,11.75,2011,k13
99.1258,16.884,2011,partner
104.845462,14.00858,2011,k13
106.90801239,11.7552776337,2011,k13
98.5568008423,16.7077007294,2011,k13
102.607780457,12.8581104279,2011,k13
98.5680007935,16.7148990631,2011,k13
104.845462,14.00858,2012,k13
106.90801239,11.7552776337,2012,k13
98.5680007935,16.7148990631,2012,k13
104.320770264,15.1148796082,2012,k13
104.371002197,14.6302995682,2012,k13
102.607780457,12.8581104279,2012,k13
104.845001221,14.008600235,2012,k13
97.9593,16.9459,2012,partner
93.5813,22.3897,2012,partner
107.100997925,13.8577003479,2012,k13
98.5568008423,16.7077007294,2012,k13
106.722999573,11.75,2012,k13
103.916999817,12.5333003998,2012,k13
103.202003479,13.1028003693,2012,k13
97.9656,19.2991,2013,partner
99.1258,16.884,2013,partner
104.845,14.0086,2013,partner
98.6085,9.95287,2013,partner
103.917,12.5333,2013,partner
98.1215677,16.0408229,2013,k13
102.668,12.9093,2013,partner
106.722999573,11.75,2013,k13
107.100997925,13.8577003479,2013,k13
104.845001221,14.008600235,2013,k13
103.916999817,12.5333003998,2013,k13
103.482,12.3252,2013,partner
102.536003113,17.9605998993,2013,k13
98.5568008423,16.7077007294,2013,k13
104.081242,14.23508,2013,k13
108.227607727,15.342417717,2013,k13
98.711517334,16.2970600128,2013,k13
98.3852996826,16.0049991608,2013,k13
95.9757003784,22.888299942,2014,k13
98.5747,16.7124,2014,partner
105.411003113,14.7566995621,2014,k13
107.830001831,13.9622001648,2014,k13
105.802001953,21.0228004456,2014,k13
104.75,11.57970047,2014,k13
103.204,13.0957,2014,partner
107.100997925,13.8577003479,2014,k13
100.524,13.7279,2014,partner
98.1215677,16.0408229,2014,k13
106.722999573,11.75,2014,k13
105.411,14.7567,2015,partner
103.917,12.5333,2015,partner
107.830001831,13.9622001648,2015,k13
106.984,13.7318,2015,partner
96.8806991577,17.9293003082,2015,k13
104.845,14.0086,2015,partner
106.722999573,11.75,2015,k13
94.8498,18.1964,2016,partner
98.5568,16.7077,2016,partner
102.668,12.9093,2016,partner
96.4717,22.0392,2016,partner
97.4381,25.8509,2016,partner
103.917,12.5333,2016,partner
98.6085,9.95287,2016,partner
103.844,14.9559,2016,partner
98.5747,16.7124,2016,partner
104.845,14.0086,2016,partner
103.624,12.4335,2016,partner
103.917,12.5333,2017,partner
106.723,11.75,2017,partner
96.8807,17.9293,2017,partner
104.845,14.0086,2017,partner
97.6106,17.7286,2017,partner
